,0
Initial Equity,10000000.0
Final Equity,9537638.928571427
Total Return (%),-4.62361071428573
Net P&L,-462361.0714285736
Directional P&L,-356116.07142857334
Roll P&L,-39750.000000000146
Transaction Costs,66495.0
Total Trades,80.0
Win Rate (%),45.0
Profit Factor,0.627146612605055
Max Drawdown (%),4.725518514374303
Sharpe Ratio,-0.7517923574500617
