date,position_status,num_contracts,current_price,signal,forecasted_return,atr,stop_loss,carry_spread,carry_multiplier,unrealized_pnl,realized_pnl,roll_pnl,daily_total_pnl,cumulative_pnl,equity
2024-01-02,FLAT,0,5.73,NEUTRAL,-0.08846791096507811,0.09285714285714272,,0.009999999999999787,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
2024-01-03,FLAT,0,5.75,NEUTRAL,-0.06866750090263062,0.09285714285714278,,0.009999999999999787,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
2024-01-04,FLAT,0,5.73,NEUTRAL,-0.08999455090592458,0.09071428571428562,,0.009999999999999787,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
2024-01-05,FLAT,0,5.65,NEUTRAL,0.06490416970172387,0.08857142857142852,,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
2024-01-08,FLAT,0,5.68,NEUTRAL,0.09139195312558442,0.08642857142857142,,0.010000000000000675,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
2024-01-09,FLAT,0,5.62,NEUTRAL,0.051578494317417956,0.09071428571428575,,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
2024-01-10,FLAT,0,5.65,NEUTRAL,-0.01058390206641458,0.08500000000000003,,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
2024-01-11,LONG,7,5.67,LONG,0.11127061492110735,0.08357142857142863,5.5424999999999995,0.020000000000000462,0.25,0.0,0.0,0.0,0.0,0.0,10000000.0
2024-01-12,FLAT,0,5.58,NEUTRAL,0.035309165029205364,0.08714285714285719,,0.019999999999999574,0.0,0.0,-16204.999999999975,0.0,-16204.999999999975,-16205.0,9983795.0
2024-01-16,LONG,7,5.71,LONG,0.11156962883583534,0.09357142857142861,5.579285714285714,0.020000000000000462,0.25,0.0,0.0,0.0,0.0,-16205.0,9983795.0
2024-01-17,SHORT,28,5.72,SHORT,-0.1517595044620768,0.09357142857142854,5.860357142857143,0.020000000000000462,1.0,0.0,1294.9999999999627,0.0,1294.9999999999627,-14910.0,9985090.0
2024-01-18,FLAT,0,5.71,NEUTRAL,-0.0488895623323317,0.09000000000000005,,0.020000000000000462,0.0,0.0,5179.999999999851,0.0,5179.999999999851,-9730.0,9990270.0
2024-01-19,SHORT,29,5.75,SHORT,-0.14324767956692105,0.09000000000000005,5.885,0.019999999999999574,1.0,0.0,0.0,0.0,0.0,-9730.0,9990270.0
2024-01-22,FLAT,0,5.71,NEUTRAL,0.018195888413433253,0.08928571428571434,,0.020000000000000462,0.0,0.0,27115.000000000025,0.0,27115.000000000025,17385.0,10017385.0
2024-01-23,FLAT,0,5.78,NEUTRAL,0.0597721842107385,0.0921428571428572,,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,17385.0,10017385.0
2024-01-24,SHORT,28,5.88,SHORT,-0.17952359727055625,0.09714285714285717,6.0182142857142855,0.020000000000000462,1.0,0.0,0.0,0.0,0.0,17385.0,10017385.0
2024-01-26,FLAT,0,5.84,NEUTRAL,0.08470323033037679,0.09214285714285715,,0.03000000000000025,0.0,0.0,40180.00000000035,0.0,40180.00000000035,43565.0,10043565.0
2024-01-29,LONG,7,5.88,LONG,0.21145278325895647,0.09357142857142861,5.741785714285714,0.020000000000000462,0.25,0.0,0.0,0.0,0.0,43565.0,10043565.0
2024-01-30,FLAT,0,5.94,NEUTRAL,0.04349569759801883,0.09000000000000005,,0.019999999999999574,0.0,0.0,10045.000000000087,0.0,10045.000000000087,53610.0,10053610.0
2024-01-31,LONG,14,5.91,LONG,0.10026579368425202,0.09357142857142861,5.775,0.019999999999999574,0.5,0.0,0.0,0.0,0.0,53610.0,10053610.0
2024-02-01,LONG,14,5.91,LONG,0.14073274049938744,0.08214285714285705,5.786785714285714,0.019999999999999574,0.5,0.0,0.0,0.0,0.0,53610.0,10053610.0
2024-02-02,FLAT,0,5.88,NEUTRAL,0.008972803542318341,0.07714285714285703,,0.020000000000000462,0.0,0.0,-11410.000000000087,0.0,-11410.000000000087,42200.0,10042200.0
2024-02-05,LONG,8,5.85,LONG,0.21558051604817607,0.07357142857142847,5.734285714285714,0.020000000000000462,0.25,0.0,0.0,0.0,0.0,42200.0,10042200.0
2024-02-06,FLAT,0,5.83,NEUTRAL,-0.027212526581414494,0.07214285714285706,,0.019999999999999574,0.0,0.0,-4519.9999999999145,0.0,-4519.9999999999145,37680.0,10037680.0
2024-02-07,FLAT,0,5.74,NEUTRAL,0.07883906754648351,0.07428571428571422,,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,37680.0,10037680.0
2024-02-08,FLAT,0,5.73,NEUTRAL,0.06691251934444194,0.07857142857142854,,0.009999999999999787,0.0,0.0,0.0,0.0,0.0,37680.0,10037680.0
2024-02-09,FLAT,0,5.66,NEUTRAL,0.006880628237923436,0.08214285714285717,,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,37680.0,10037680.0
2024-02-12,FLAT,0,5.72,NEUTRAL,0.021891395055477957,0.08,,0.010000000000000675,0.0,0.0,0.0,0.0,0.0,37680.0,10037680.0
2024-02-13,FLAT,0,5.75,NEUTRAL,0.025312674679432295,0.08071428571428571,,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,37680.0,10037680.0
2024-02-14,FLAT,0,5.72,NEUTRAL,-0.07104724682224206,0.08071428571428571,,0.010000000000000675,0.0,0.0,0.0,0.0,0.0,37680.0,10037680.0
2024-02-15,LONG,8,5.77,LONG,0.11607622743688673,0.08214285714285717,5.648928571428571,0.020000000000000462,0.25,0.0,0.0,0.0,0.0,37680.0,10037680.0
2024-02-16,LONG,8,5.89,LONG,0.11025321501627332,0.08357142857142856,5.77,0.010000000000000675,0.5,24000.000000000022,0.0,0.0,0.0,37680.0,10037680.0
2024-02-20,LONG,8,5.89,LONG,0.1117974272727446,0.08428571428571427,5.77,0.010000000000000675,0.5,24000.000000000022,0.0,0.0,0.0,37680.0,10037680.0
