Date,HG_Price,HG1_logret,DXY_Price,DXY_logret,PMI,PMI_change,LME_Stocks,STOCKS_logret,Forecasted_Return,Signal,Model_Alpha,Model_Beta_DXY,Model_Beta_PMI,Model_Beta_STOCKS,Model_R2
2024-06-07,6.8,-3.32640936405126,159.1,1.634913800152941,49.5,0.0,123800,1.3008313513000747,-0.08920151955863831,SHORT,0.019010221052788715,-0.06615996389169546,1.280238385139676,-0.0772039125804171,0.03466503147512312
2024-06-10,6.89,1.314847284350614,159.38,0.17583526258608337,49.5,0.0,125325,1.2243002899071471,-0.18341563133715302,SHORT,0.02472871160525175,-0.06638588412438305,1.3257020905954107,-0.07657345031894078,0.03441034758874584
2024-06-11,6.84,-0.7283353391108046,159.55,0.10660647546506419,49.5,0.0,127325,1.58325096211012,-0.08803766195352714,SHORT,0.02081991772679028,-0.07352368395648173,1.3591513564983553,-0.0783545705219172,0.03626169386379807
2024-06-12,6.82,-0.2928259779088334,156.36,-2.019631179949844,49.5,0.0,127425,0.07850834554370813,-0.11343684033651594,SHORT,0.026144327595304467,-0.07241412878888634,1.382553619142095,-0.0832851872782204,0.03786867315693365
2024-06-13,6.75,-1.0316966970932266,158.43,1.3151814462197426,49.5,0.0,132075,3.584198682427415,0.16446866882795294,LONG,0.024228896242455857,-0.07267364329985737,1.3732280732118507,-0.08322915657177055,0.03775895847608868
2024-06-14,6.8,0.738010729762246,159.71,0.8046815281266609,49.5,0.0,133925,1.3909998716644587,-0.3668375226607107,SHORT,0.023906514063477113,-0.07027375850157956,1.3773677490783778,-0.08323235395665733,0.03744822984534779
2024-06-17,6.75,-0.7380107297622533,159.75,0.02504225894261318,49.5,0.0,136675,2.0325903014038906,-0.14771543600967657,SHORT,0.024438275066565145,-0.06868367803566101,1.3974718118332665,-0.0840296440410757,0.038068297455263744
2024-06-18,6.76,0.1480385170434203,158.49,-0.7918593413309931,49.5,0.0,155850,13.128816143228322,-0.145688670858697,SHORT,0.02621567102959123,-0.06753118087843812,1.397891571271189,-0.08374201552199935,0.03768778527872396
2024-06-20,6.84,1.1764841579586431,158.41,-0.05048911435749415,49.5,0.0,161925,3.823925885563467,-1.0222872078901337,SHORT,0.02606212523086749,-0.06669900987645154,1.4094725179892222,-0.08387394226075477,0.03771086107066157
2024-06-21,6.69,-2.217385749432197,159.4,0.6230157655355397,49.5,0.0,165175,1.9872252846968568,-0.2708813390458451,SHORT,0.029579220782489996,-0.07042535197986514,1.442787033744523,-0.07950370445877916,0.03620826205282146
2024-06-24,6.66,-0.44943895878393264,158.4,-0.6293286975789179,49.5,0.0,167825,1.5916251908865753,-0.16660562415147992,SHORT,0.03627687999580148,-0.07653614623991664,1.5072480504975643,-0.0780984821407175,0.03624437453979834
