position_id,entry_date,exit_date,contract,entry_price,exit_price,num_contracts,direction,directional_pnl,transaction_costs,net_pnl,exit_reason,holding_days,stop_loss,atr,carry_spread,carry_multiplier
28,2024-05-16,2024-05-17,HGN24,7.37,7.3,12,LONG,-21000.000000000084,780.0,-21780.000000000084,SIGNAL_REVERSAL,1,7.061428571428571,0.21714285714285714,-0.10999999999999943,1.0
29,2024-05-21,2024-05-23,HGN24,7.66,7.25,2,SHORT,20500.000000000007,130.0,20370.000000000007,ROLL,2,8.010357142857144,0.2421428571428572,-0.07000000000000028,0.25
30,2024-05-23,2024-05-24,HGQ24,7.22,7.2,2,SHORT,999.9999999999786,130.0,869.9999999999786,SIGNAL_REVERSAL,1,,0.2421428571428572,-0.07000000000000028,0.25
31,2024-05-28,2024-05-29,HGQ24,7.25,7.36,2,SHORT,-5500.000000000016,130.0,-5630.000000000016,SIGNAL_REVERSAL,1,7.646428571428571,0.26857142857142874,-0.020000000000000462,0.25
32,2024-05-30,2024-05-31,HGQ24,7.2,7.01,9,SHORT,42750.00000000009,585.0,42165.00000000009,SIGNAL_REVERSAL,1,7.611428571428572,0.2835714285714287,0.0,1.0
33,2024-06-03,2024-06-05,HGQ24,6.93,6.87,13,LONG,-19499.999999999873,845.0,-20344.999999999873,SIGNAL_REVERSAL,2,6.634285714285714,0.1892857142857142,0.0,1.0
34,2024-06-05,2024-06-06,HGQ24,6.87,6.92,13,SHORT,-16249.999999999942,845.0,-17094.99999999994,SIGNAL_REVERSAL,1,7.163571428571428,0.17999999999999997,-0.009999999999999787,1.0
35,2024-06-10,2024-06-11,HGQ24,6.74,6.88,14,SHORT,-48999.99999999988,910.0,-49909.99999999988,SIGNAL_REVERSAL,1,7.015357142857143,0.17857142857142858,0.009999999999999787,1.0
36,2024-06-12,2024-06-13,HGQ24,6.73,6.8,14,SHORT,-24499.99999999979,910.0,-25409.99999999979,SIGNAL_REVERSAL,1,7.0,0.16285714285714295,0.0,1.0
37,2024-06-13,2024-06-14,HGQ24,6.8,6.79,8,LONG,-1999.9999999999573,520.0,-2519.9999999999573,SIGNAL_REVERSAL,1,6.555714285714285,0.16285714285714295,0.019999999999999574,0.5
38,2024-06-14,2024-06-21,HGQ24,6.79,6.82,16,SHORT,-12000.0000000001,1040.0,-13040.0000000001,ROLL,7,7.034285714285715,0.16357142857142865,0.009999999999999787,1.0
39,2024-06-21,2024-06-25,HGU24,6.83,6.65,16,SHORT,71999.99999999988,1040.0,70959.99999999988,SIGNAL_REVERSAL,4,,0.16357142857142865,0.009999999999999787,1.0
40,2024-06-26,2024-06-28,HGU24,6.57,6.47,17,SHORT,42500.000000000226,1105.0,41395.000000000226,SIGNAL_REVERSAL,2,6.789642857142858,0.14428571428571438,0.010000000000000675,1.0
41,2024-07-03,2024-07-05,HGU24,6.59,6.78,20,SHORT,-95000.0000000002,1300.0,-96300.0000000002,SIGNAL_REVERSAL,2,6.786071428571429,0.13428571428571429,0.0,1.0
42,2024-07-08,2024-07-09,HGU24,6.92,6.84,9,SHORT,18000.000000000015,585.0,17415.000000000015,SIGNAL_REVERSAL,1,7.1310714285714285,0.1428571428571428,-0.019999999999999574,0.5
43,2024-07-12,2024-07-15,HGU24,6.67,6.76,17,SHORT,-38249.99999999994,1105.0,-39354.99999999994,SIGNAL_REVERSAL,3,6.892857142857143,0.1492857142857144,0.0,1.0
