Date,HG_Price,HG1_logret,DXY_Price,DXY_logret,PMI,PMI_change,LME_Stocks,STOCKS_logret,DXY_logret_lag1,PMI_change_lag1,STOCKS_logret_lag1,Forecasted_Return,Signal,Model_Alpha,Model_Beta_DXY,Model_Beta_PMI,Model_Beta_STOCKS,Model_R2,Hit
2024-01-02,5.73,0.5249355886143745,150.99,1.6561313413524532,49.02424242424242,0.006060606060607654,165700,-0.9609683560261102,0.6485194653905159,-0.013793103448278998,0.3143009397199221,-0.07261400698110666,SHORT,-0.0009584091706277883,-0.08810575777261904,-3.5866413827836996,-0.0827521905750614,0.04604274963116706,0.0
2024-01-03,5.75,0.3484324082610843,152.67,1.1065119812472606,49.03030303030303,0.006060606060607654,165700,0.0,1.6561313413524532,0.006060606060607654,-0.9609683560261102,-0.1814473871009432,SHORT,0.001962808054714287,-0.08809715829609585,-3.570497148999554,-0.08275351538998063,0.04599050643324709,0.0
2024-01-04,5.73,-0.34843240826108113,152.62,-0.032755740736375855,49.03636363636364,0.006060606060607654,164450,-0.7572351797451247,1.1065119812472606,0.006060606060607654,0.0,-0.22865873125591796,SHORT,0.0019648697308640595,-0.0879952124840584,-3.57297722085075,-0.0826610441050381,0.04599981054580582,1.0
2024-01-05,5.65,-1.4059985568298599,152.05,-0.37417577381134204,49.04242424242425,0.006060606060607654,163175,-0.7783328113784874,-0.032755740736375855,0.006060606060607654,-0.7572351797451247,-0.009773727143451781,NEUTRAL,-0.0035945665329310972,-0.08675789015238371,-3.591071089208652,-0.0822796140469794,0.04543280849223752,1.0
2024-01-08,5.68,0.5295687574710283,152.29,0.1577183740225833,49.06060606060606,0.006060606060607654,161725,-0.8925882591232022,-0.37417577381134204,0.006060606060607654,-0.7783328113784874,0.0808751127933199,LONG,-0.0031073047497679283,-0.08711824049316194,-3.5504263041203576,-0.08235132036151248,0.045542924660336936,1.0
2024-01-09,5.62,-1.0619568827460262,153.46,0.7653348885919873,49.06666666666667,0.006060606060607654,160550,-0.7291941394526227,0.1577183740225833,0.006060606060607654,-0.8925882591232022,0.06378508516032749,LONG,-0.006141671098585284,-0.08773102802039379,-3.5590968021990363,-0.0821791682804442,0.045557343501321124,0.0
2024-01-10,5.65,0.5323881252750017,152.86,-0.39174769347811567,49.07272727272727,0.0060606060606005485,158900,-1.0330346992852655,0.7653348885919873,0.006060606060607654,-0.7291941394526227,-0.038726930995382144,SHORT,-0.0009778519314015775,-0.08909837723626392,-3.570223514432709,-0.0833214232992244,0.04696172252582553,0.0
2024-01-11,5.67,0.35335725813110447,153.58,0.4699134087659506,49.07878787878788,0.006060606060607654,157325,-0.9961344129673042,-0.39174769347811567,0.0060606060606005485,-1.0330346992852655,0.05069081251461364,LONG,-0.000845426388203856,-0.08952878598129695,-3.567795161758712,-0.08332985426506445,0.04703859932203713,1.0
2024-01-12,5.58,-1.6000341346441076,152.85,-0.47645555655540467,49.084848484848486,0.006060606060607654,155825,-0.958014671808296,0.4699134087659506,0.006060606060607654,-0.9961344129673042,0.041284508297738325,LONG,-0.0064618828082287,-0.0873236147958481,-3.603383409866043,-0.0828114092631431,0.046596812643722396,0.0
2024-01-16,5.71,2.303024727469933,156.64,2.449313044535674,49.10909090909091,0.006060606060607654,154725,-0.7084235069489117,-0.47645555655540467,0.006060606060607654,-0.958014671808296,0.05952967689397974,LONG,0.0007738887798008267,-0.07756114021198855,-3.628094402006518,-0.0834657160957821,0.045939694424630306,1.0
2024-01-17,5.72,0.17497817237875507,158.39,1.111016729212868,49.11515151515152,0.006060606060607654,154075,-0.42098507771184107,2.449313044535674,0.006060606060607654,-0.7084235069489117,-0.11004989288550689,SHORT,-0.0013568626205698701,-0.07547542501046559,-3.632681936565438,-0.08360880123958345,0.045844042345641545,0.0
2024-01-18,5.71,-0.1749781723787595,157.94,-0.2845132004893912,49.121212121212125,0.006060606060607654,157325,2.087423256469043,1.111016729212868,0.006060606060607654,-0.42098507771184107,-0.2478206358681073,SHORT,-0.005172177060333953,-0.07002991066701537,-3.639379230170529,-0.0836267575179808,0.04514873717067236,1.0
2024-01-19,5.75,0.698083114134014,156.87,-0.6797777201285954,49.12727272727273,0.006060606060607654,157875,0.34898512576578367,-0.2845132004893912,0.006060606060607654,2.087423256469043,-0.2512855155436827,SHORT,-0.0011858141880268722,-0.07181410717795393,-3.655820732438618,-0.0837988010999671,0.04600579164442686,0.0
2024-01-22,5.71,-0.6980831141340205,156.8,-0.044632895184143,49.14545454545455,0.006060606060607654,156750,-0.7151401157625128,-0.6797777201285954,0.006060606060607654,0.34898512576578367,0.09823671821212973,LONG,0.00024289056615611065,-0.0686520471176064,-3.660136404035299,-0.08245270198713035,0.04469467831105556,0.0
2024-01-23,5.78,1.2184659016367219,157.84,0.6610753798052347,49.151515151515156,0.006060606060607654,159575,1.786185162909087,-0.044632895184143,0.006060606060607654,-0.7151401157625128,0.13342683539199252,LONG,0.0018352557402219038,-0.06816650243459435,-3.6529023475327125,-0.0832081584798524,0.044590579529461105,1.0
2024-01-24,5.88,1.7153079226249492,156.34,-0.9548738922175485,49.157575757575756,0.0060606060606005485,157725,-1.1661020885247846,0.6610753798052347,0.006060606060607654,1.786185162909087,-0.2012582863915807,SHORT,0.0020044215828686172,-0.06742818942161381,-3.606907259563755,-0.08449076386432125,0.045929883482270006,0.0
