roll_id,roll_date,from_contract,to_contract,exit_price,entry_price,num_contracts,roll_spread,roll_pnl,fnd_date,days_before_fnd
1,2025-01-28,HGH25,HGJ25,6.8,6.84,6,0.040000000000000036,-6000.0000000000055,2025-01-31,5
2,2025-02-21,HGJ25,HGK25,7.2,7.24,24,0.040000000000000036,-24000.000000000022,2025-02-28,5
3,2025-03-26,HGK25,HGM25,8.32,8.35,5,0.02999999999999936,-3749.99999999992,2025-03-31,5
4,2025-04-23,HGM25,HGN25,7.6,7.64,2,0.040000000000000036,-2000.0000000000018,2025-04-30,5
5,2025-05-22,HGN25,HGQ25,7.29,7.34,4,0.04999999999999982,-4999.999999999982,2025-05-30,5
6,2025-06-24,HGQ25,HGU25,7.53,7.57,6,0.040000000000000036,-6000.0000000000055,2025-06-30,5
7,2025-07-30,HGU25,HGV25,8.65,8.68,7,0.02999999999999936,-5249.999999999888,2025-07-31,5
