date,position_status,num_contracts,current_price,signal,forecasted_return,atr,stop_loss,carry_spread,carry_multiplier,volume_scanner_triggered,atr_scanner_triggered,structure_scanner_triggered,market_risk_scanner_triggered,any_scanner_triggered,unrealized_pnl,realized_pnl,roll_pnl,daily_total_pnl,cumulative_pnl,equity
2025-01-02,FLAT,0,6.48,NEUTRAL,-0.021902074044929103,0.10071428571428573,,0.02999999999999936,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,10000000.0
2025-01-03,FLAT,0,6.57,NEUTRAL,-0.007093184005487085,0.09642857142857146,,0.019999999999999574,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,10000000.0
2025-01-06,FLAT,0,6.66,NEUTRAL,0.10840790323392938,0.10571428571428575,,0.03000000000000025,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,10000000.0
2025-01-07,LONG,11,6.72,LONG,0.1827670288512867,0.10857142857142861,6.561428571428571,0.020000000000000462,0.25,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,10000000.0
2025-01-08,FLAT,0,6.86,NEUTRAL,0.06814122105090623,0.11499999999999996,,0.019999999999999574,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,37785.0,10037785.0
2025-01-10,FLAT,0,6.99,NEUTRAL,-0.010472684862591522,0.11999999999999998,,0.019999999999999574,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,37785.0,10037785.0
2025-01-13,FLAT,0,7.03,NEUTRAL,-0.07122044215017527,0.12071428571428568,,0.019999999999999574,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,37785.0,10037785.0
2025-01-14,FLAT,0,7.01,NEUTRAL,0.04002904937042106,0.12214285714285708,,0.020000000000000462,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,37785.0,10037785.0
2025-01-15,LONG,9,7.05,LONG,0.22831889653336257,0.1257142857142857,6.866785714285714,0.020000000000000462,0.25,False,False,False,False,False,0.0,0.0,0.0,0.0,37785.0,10037785.0
2025-01-16,FLAT,0,7.14,NEUTRAL,0.1439422080411047,0.12857142857142856,,0.020000000000000462,0.0,False,False,False,False,False,0.0,19664.999999999967,0.0,19664.999999999967,57450.0,10057450.0
2025-01-17,FLAT,0,7.02,NEUTRAL,0.051615307038989935,0.13499999999999998,,0.03000000000000025,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,57450.0,10057450.0
2025-01-21,FLAT,0,6.94,NEUTRAL,0.004547461969586573,0.14285714285714285,,0.019999999999999574,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,57450.0,10057450.0
