Date,HG_Price,HG1_logret,DXY_Price,DXY_logret,PMI,PMI_change,LME_Stocks,STOCKS_logret,Realized_Vol_Daily,Realized_Vol_Ann,Vol_Regime,Forecasted_Return,Signal,Model_Alpha,Model_Beta_DXY,Model_Beta_PMI,Model_Beta_STOCKS,Model_R2
2025-02-28,7.31,-0.9530364850693989,173.05,0.9522222562387597,50.2,1.1000000000000014,262075,-0.5991743637842424,1.647082590448551,26.1466255386655,NORMAL,-0.07963777891567952,NEUTRAL,0.03402793719211588,-0.09122349387854879,0.0038398143161229026,-0.09227130228491379,0.043018732967345485
2025-03-03,7.38,0.9530364850694062,171.03,-1.174159036975309,50.2,1.1000000000000014,261050,-0.391876248207499,1.6357784281539325,25.967177525396654,NORMAL,0.009813402357094748,NEUTRAL,0.03426352109775808,-0.08673165475662843,0.002556788610184643,-0.09233576920479458,0.04245498937379355
2025-03-04,7.34,-0.5434795985956945,170.37,-0.3866437154149279,50.2,1.1000000000000014,261000,-0.01915525338680122,1.6321606658853953,25.90974732980604,NORMAL,0.1733495414280628,LONG,0.03246934509536886,-0.08751248721966812,0.0018249395929459261,-0.09216987563933375,0.042391429839542694
2025-03-05,7.6,3.4809404665861154,165.38,-2.9726686263430264,50.2,1.1000000000000014,260150,-0.3262019586380942,1.782898841683531,28.302641687278452,NORMAL,0.07131989939575667,NEUTRAL,0.031784758165861425,-0.08796523702969014,0.003419862489381087,-0.09198972122582362,0.04237414172536902
2025-03-06,7.57,-0.39551798429279433,163.85,-0.9294481149197019,50.2,1.1000000000000014,259175,-0.3754878527136695,1.7802692933339934,28.260898901318672,NORMAL,0.3240152096491315,LONG,0.03216144740765484,-0.08724613773746234,0.002196735974522565,-0.09222353039615366,0.04246058923414531
2025-03-07,7.46,-1.463765323368799,164.47,0.37768076083540364,50.2,1.1000000000000014,257325,-0.7163631796552703,1.8245467558106132,28.963781827707454,NORMAL,0.16310416779657835,LONG,0.031528523061771146,-0.09516040902803548,0.008187921872551934,-0.09087449205693698,0.04272408170624642
2025-03-10,7.4,-0.8075414005545307,164.77,0.18223793161624574,50.2,1.1000000000000014,253325,-1.5666628078241873,1.713025753368087,27.193440797166147,NORMAL,0.06762381050348489,NEUTRAL,0.02908186092017257,-0.0933347572352087,0.008279381708647185,-0.09029689641490192,0.042056293772833486
2025-03-11,7.58,2.4033199444156192,165.23,0.27878805935591144,50.2,1.1000000000000014,244175,-3.678806800084053,1.7205791777354522,27.31334769170405,NORMAL,0.1562481207326165,LONG,0.0251848076208059,-0.09389345751630464,0.007635554476344356,-0.08921840231340114,0.04127523197702898
2025-03-12,7.69,1.4407583863272355,164.33,-0.5461841469700692,50.2,1.1000000000000014,240325,-1.5893007381660909,1.6528747966183193,26.23857396107122,NORMAL,0.3323525934177301,LONG,0.02386642649186828,-0.09406311244737309,0.006692131479484401,-0.08898224687067822,0.04108874978016319
2025-03-13,7.83,1.8041726485159042,165.15,0.4977550643600144,50.2,1.1000000000000014,237200,-1.3088506828309492,1.6149025926700147,25.635783910789787,NORMAL,0.2333805408409087,LONG,0.028413082338562545,-0.09544434671800159,0.007938570395840283,-0.09067185241348252,0.04254754287241924
