Metric,Initial_2025,Refined_2025,% Change vs Initial
Net P&L ($),-227419.99999999985,760665.0,434.4758596429516
Sharpe Ratio,-1.0858725782584675,2.357379587776178,317.09541570309887
Max Drawdown (%),4.141315256711538,0.6353058093648389,-84.65932270345168
Calmar Ratio,-0.7780558716648974,17.11377983889422,2299.5566722315016
