Date,HG_Price,HG1_logret,DXY_Price,DXY_logret,PMI,PMI_change,LME_Stocks,STOCKS_logret,Realized_Vol_Daily,Realized_Vol_Ann,Vol_Regime,Forecasted_Return,Signal,Model_Alpha,Model_Beta_DXY,Model_Beta_PMI,Model_Beta_STOCKS,Model_R2
2024-07-17,6.55,-1.063032030175637,154.16,-0.5950088696617476,49.5,0.0,221100,2.1140020529535737,1.3393520513100674,21.26155467438396,NORMAL,-0.27323453479606397,SHORT,0.039807943599340895,-0.11764044677089255,0.02622830095854152,-0.07345876276306582,0.037692946915095615
2024-07-18,6.36,-2.943667229512964,154.7,0.3496733472909518,49.5,0.0,227425,2.8205425844725007,1.4746781477941122,23.409789857547448,NORMAL,-0.04919372241039703,NEUTRAL,0.04033267166559741,-0.11351135711749834,0.02522429592409474,-0.07429825252478006,0.03770820927617535
2024-07-19,6.33,-0.4728141195946012,155.95,0.80476854747918,49.5,0.0,231425,1.743533324514949,1.432999883975119,22.748167930695466,NORMAL,-0.2106501723764884,SHORT,0.039695031213294506,-0.11288917357203378,0.024806219610598423,-0.07476251894043918,0.03789066597409274
2024-07-22,6.32,-0.1581027997318707,157.1,0.7347102207763345,49.5,0.0,234400,1.2773210749582544,1.3670586189385456,21.701382800152835,NORMAL,-0.1877829186491124,SHORT,0.03412814231085398,-0.11214306524657701,0.02591146805904042,-0.07551438643608605,0.03833948159547884
2024-07-23,6.29,-0.47581374464169235,157.89,0.5016042772221694,49.5,0.0,236700,0.9764458817080596,1.3672388386972665,21.704243700130327,NORMAL,-0.14294482481319587,NEUTRAL,0.03563843985031761,-0.11177571041628569,0.02485000254615939,-0.07551782373064275,0.038330738143953935
2024-07-24,6.22,-1.1191163961261104,158.01,0.07597341296104602,49.5,0.0,241750,2.111061781346552,1.3642076395766267,21.656124905845143,NORMAL,-0.08656203323526232,NEUTRAL,0.03908095743494445,-0.10984253797767057,0.02304093636951131,-0.0722472234470036,0.0356266138795478
2024-07-25,6.3,1.2779726646399021,159.24,0.7754175968708821,49.5,0.0,239425,-0.966391892572065,1.4081088211934327,22.35303455876484,NORMAL,-0.12580548744725117,NEUTRAL,0.03384734080755129,-0.12086048275098858,0.02634010722528292,-0.07127723414712747,0.03716285493995952
2024-07-26,6.29,-0.15885626851378415,159.18,-0.037686075441323075,49.5,0.0,237750,-0.7020513982183344,1.40495988454984,22.303046739245374,NORMAL,0.007854883678087558,NEUTRAL,0.03181756039474607,-0.12095429779497467,0.026723609062408164,-0.07225579472203474,0.03775026807856774
2024-07-29,6.25,-0.637960696403904,160.02,0.5263170044274691,49.5,0.0,239100,0.566217303877928,1.3899426354924165,22.064655300951802,NORMAL,0.09147734464775453,NEUTRAL,0.0362157639477083,-0.1219851181450537,0.025202428246399802,-0.07216628364175219,0.03790180391923448
2024-07-30,6.24,-0.1601281366973768,159.87,-0.09378224451773297,49.5,0.0,239400,0.12539186595936813,1.3630865357928386,21.638327935010363,NORMAL,-0.06974433307342547,NEUTRAL,0.035282300732545055,-0.12166610434431016,0.025519712175428567,-0.07239569321949016,0.038013823431718885
2024-07-31,6.4,2.531780798429,159.41,-0.2881485331245378,49.4,-0.10000000000000142,239275,-0.05222750419025653,1.504312842908201,23.88022605825405,NORMAL,0.034347782116725435,NEUTRAL,0.032353187489213814,-0.11924626570046336,0.026582591874646233,-0.07327897826493185,0.03841926211074387
2024-08-01,6.25,-2.3716526617316043,159.96,0.3444284333062462,49.4,-0.10000000000000142,245150,2.4256750015272157,1.505517840115189,23.899354795895352,NORMAL,0.06720000241927512,NEUTRAL,0.03163626244269867,-0.11942948950529625,0.026849855220499888,-0.07343435887519385,0.03852930860500514
2024-08-02,6.29,0.6379606964038987,158.32,-1.0305482684307394,49.4,-0.10000000000000142,246500,0.5491725385502544,1.3865230889919742,22.01037168313105,NORMAL,-0.18810496479985944,SHORT,0.03416497434854078,-0.1204789105220544,0.026955596071946704,-0.07341379905862583,0.038529261578757135
2024-08-05,6.18,-1.764279924274979,158.61,0.1830057621158423,49.4,-0.10000000000000142,251350,1.9484396655839458,1.414215064302841,22.449968163039216,NORMAL,0.11631151629973185,NEUTRAL,0.03298942748506911,-0.12183930980062357,0.026472200132787553,-0.07209388331471436,0.03728199318364411
2024-08-06,6.19,0.16168152269054775,158.28,-0.2082742398245055,49.4,-0.10000000000000142,252575,0.4861844175211653,1.4210821889492644,22.558980387258327,NORMAL,-0.13563612729594685,NEUTRAL,0.03147142708982378,-0.12241002557358018,0.02762242618282191,-0.07284986764228865,0.03801666422135208
2024-08-07,6.03,-2.6188075957410684,157.4,-0.5575280533920703,49.4,-0.10000000000000142,294750,15.441930510368437,1.481311996324644,23.515098938229798,NORMAL,0.018746616314420088,NEUTRAL,0.03136040504445295,-0.12368108251262527,0.026739721870967965,-0.0734276926560915,0.038591644048846296
2024-08-08,6.03,0.0,157.09,-0.19714464714544264,49.4,-0.10000000000000142,294425,-0.11032376898681717,1.3926223701419107,22.107194769725027,NORMAL,-1.0337444524432633,SHORT,0.030692379524941048,-0.12431795734337779,0.02724898285765629,-0.07324360653496975,0.03859530257988175
2024-08-09,6.07,0.6611594332312789,156.67,-0.2677207106452749,49.4,-0.10000000000000142,296400,0.668559169431959,1.3163939194211398,20.897105629115615,NORMAL,0.05782578394782158,NEUTRAL,0.027945153692277715,-0.12196921314487708,0.027483470955796223,-0.07780190925216754,0.042152344359051686
2024-08-12,6.16,1.4718172474021485,156.25,-0.2684393788884705,49.4,-0.10000000000000142,296125,-0.09282309429823325,1.380043960297263,21.90751870369952,NORMAL,0.005538800430687586,NEUTRAL,0.02769941169812607,-0.12221787232807431,0.027592476346015464,-0.07796111645637518,0.041956061874758754
2024-08-13,6.13,-0.4882027597308421,155.18,-0.6871555150707637,49.4,-0.10000000000000142,305625,3.1577197750186836,1.3752924501806487,21.83209081897611,NORMAL,0.06539863639974411,NEUTRAL,0.027953607750197524,-0.12295699774271293,0.02788452762272331,-0.07785757803499102,0.041992609038805084
2024-08-14,6.1,-0.4905978768854518,154.91,-0.1741430347531705,49.4,-0.10000000000000142,307425,0.5872294829374576,1.3663556541044914,21.690223579364847,NORMAL,-0.13364957900428623,NEUTRAL,0.03128246441967461,-0.12228760143381004,0.026790364882623527,-0.07799413001562472,0.04194942706084792
2024-08-15,6.26,2.5891413932741707,155.34,0.277195987322973,49.4,-0.10000000000000142,307450,0.008131734096766373,1.3749172760273598,21.82613511392846,NORMAL,0.0012594424973819095,NEUTRAL,0.029056444742692658,-0.12104126126034573,0.027755072657938286,-0.07850421153097092,0.04226772225886544
2024-08-16,6.24,-0.3200002730670791,154.37,-0.6263944797751357,49.4,-0.10000000000000142,309050,0.5190603705803588,1.3730383215050925,21.796307635584142,NORMAL,-0.00818676909611081,NEUTRAL,0.02873535609705826,-0.12092690670556551,0.02764676090318168,-0.07833455903850756,0.04192749410488228
2024-08-19,6.23,-0.1603849581974516,151.72,-1.731560137305183,49.4,-0.10000000000000142,308075,-0.31598162810954783,1.3730459835691096,21.796429267079652,NORMAL,0.06394181390806236,NEUTRAL,0.03204813619491648,-0.12000036954622448,0.027274930096399495,-0.0781149951528966,0.0411010751606401
2024-08-20,6.16,-1.1299555253933395,150.38,-0.8871292870817409,49.4,-0.10000000000000142,320050,3.813397376382557,1.3908542082387574,22.079126069684374,NORMAL,0.2604951527084768,LONG,0.03135696097259012,-0.11962401384807925,0.027027412468072803,-0.07818416306897388,0.04108390946577867
2024-08-21,6.22,0.9693129205659533,149.94,-0.2930209874964833,49.4,-0.10000000000000142,319625,-0.13287999766617278,1.3890598112121983,22.05064089997084,NORMAL,-0.16447499506128338,SHORT,0.030991877381667962,-0.11882390360721616,0.02718917634632472,-0.07818752945870461,0.040996632102939023
2024-08-22,6.18,-0.6451635281488719,151.15,0.8037507150551142,49.4,-0.10000000000000142,319700,0.02346224544449937,1.3622418679487691,21.624919248675198,NORMAL,0.0680480420821177,NEUTRAL,0.026356724651086204,-0.11450144219626374,0.023311514965138717,-0.07880150097331268,0.04087254341319457
2024-08-23,6.2,0.323102058144654,148.74,-1.607290595031289,49.4,-0.10000000000000142,315575,-1.298668442687047,1.3653337323603374,21.674001074598443,NORMAL,-0.06848501575257068,NEUTRAL,0.028501432341892015,-0.11532687229809153,0.024427570399275074,-0.07883452520559561,0.0410530270345304
2024-08-26,6.22,0.3220614700042157,148.73,-0.006723367064770459,49.4,-0.10000000000000142,315575,0.0,1.3612608647428144,21.609346305565317,NORMAL,0.3147799814688877,LONG,0.029459633152192542,-0.11546597552557607,0.026239291116160024,-0.07881680770509472,0.04117397330567374
2024-08-27,6.35,2.068490615351211,148.3,-0.2895332460620014,49.4,-0.10000000000000142,317175,0.5057300387736617,1.438557360065377,22.836390128607526,NORMAL,0.025885458757999243,NEUTRAL,0.027479302678765322,-0.11423226129180965,0.02361869344069651,-0.08106776615271671,0.04251342360823207
2024-08-28,6.21,-2.22939169592128,148.86,0.3769017787878203,49.4,-0.10000000000000142,314250,-0.9264824556305173,1.4063452210424747,22.325038274295295,NORMAL,0.01865442753687207,NEUTRAL,0.028840537567689332,-0.11419129316948197,0.024790429526502657,-0.08061463574599116,0.04216299576067373
2024-08-29,6.22,0.16090108057006858,149.21,0.2348442720565658,49.4,-0.10000000000000142,322950,2.7308665008124877,1.306301130628398,20.73688757403145,NORMAL,0.06044496750390115,NEUTRAL,0.031861928786972984,-0.11496686938596044,0.025394781933011083,-0.08036173165610064,0.04198935502032364
2024-08-30,6.21,-0.16090108057006625,149.89,0.45469820901739844,49.1,-0.29999999999999716,320925,-0.6290061507491468,1.297174639150481,20.592009013272737,NORMAL,-0.2198214652619136,SHORT,0.02867067281775562,-0.11572391884419951,0.02503567783038331,-0.08012529017842172,0.04176220615966142
2024-09-03,6.09,-1.9512814223581716,151.63,1.1541651070343506,49.1,-0.29999999999999716,317800,-0.9785196868374612,1.3106790001269748,20.806384097824623,NORMAL,0.01952210447589957,NEUTRAL,0.02775805572432163,-0.11379127166302241,0.02346880432484353,-0.08035752498734693,0.04165737980740958
2024-09-04,6.06,-0.49382816405825664,150.48,-0.7613157820072984,49.1,-0.29999999999999716,318650,0.2671067657687473,1.3126867900087973,20.838256774097665,NORMAL,-0.032920466101228466,NEUTRAL,0.025725229055713814,-0.11309274481803523,0.02158012660815932,-0.08007610251201522,0.041297571163413815
2024-09-05,6.16,1.6366977464205412,150.41,-0.04652863256529068,49.1,-0.29999999999999716,317175,-0.46396497336411807,1.2259945216280856,19.46205967773308,NORMAL,0.08444935284971507,NEUTRAL,0.025012801052435626,-0.11552977363144483,0.0237368588517348,-0.08010665863505176,0.04166446694617287
2024-09-06,6.07,-1.4718172474021534,150.71,0.1992561764463135,49.1,-0.29999999999999716,317575,0.12603388828624407,1.275890971874963,20.25414126968195,NORMAL,0.05868639222619944,NEUTRAL,0.023019693917079965,-0.11388123511226983,0.022455475007100385,-0.07997285311774965,0.04124852007704727
2024-09-09,6.23,2.6017727727954876,152.65,1.2790258749301926,49.1,-0.29999999999999716,316450,-0.35487596882100997,1.3944541083762843,22.136272712735753,NORMAL,-0.014091402250320344,NEUTRAL,0.025496896590669955,-0.11375035511584475,0.022710425780108526,-0.08021422186232469,0.04135333914856443
2024-09-10,6.16,-1.1299555253933395,152.86,0.1374750633851254,49.1,-0.29999999999999716,316175,-0.08693934552743136,1.3840169892603038,21.970588583226696,NORMAL,-0.10133545821027906,NEUTRAL,0.02211280764269556,-0.11376582556007159,0.02124555436066191,-0.08012612159628063,0.041224150197813
2024-09-11,6.24,1.2903404835908001,153.28,0.27438444078123175,49.1,-0.29999999999999716,314950,-0.3881961698102069,1.407929299402948,22.350184738689602,NORMAL,0.01077377753799599,NEUTRAL,0.024952086855978127,-0.10996609138100313,0.02016651370949077,-0.08039214161645222,0.040650425634981224
2024-09-12,6.27,0.4796172263493014,151.48,-1.1812711188956466,49.1,-0.29999999999999716,311650,-1.0533132813078419,1.40361857388726,22.281754092580975,NORMAL,0.017508209892927833,NEUTRAL,0.022118109348218593,-0.10943566651001047,0.01886063304835736,-0.08005162604072119,0.04023472186908261
2024-09-13,6.31,0.6359321908292421,150.57,-0.6025510698642111,49.1,-0.29999999999999716,311525,-0.04011714259283755,1.2871766781682614,20.433296303012654,NORMAL,0.2282316658177676,LONG,0.022008625311837858,-0.10738579696988451,0.016779559522325356,-0.08013301390988802,0.03992155732056879
2024-09-16,6.35,0.6319136351478533,149.62,-0.6329345890693031,49.1,-0.29999999999999716,308550,-0.9595687061855438,1.2907674267492477,20.49029766960774,NORMAL,0.08472773284819449,NEUTRAL,0.020583691903561328,-0.10851449126514491,0.014849149323401568,-0.08009700408332723,0.0400840992009176
2024-09-17,6.32,-0.4735604745834127,149.17,-0.3012151278419938,49.1,-0.29999999999999716,306500,-0.6666149390809738,1.2958209947167791,20.570520574061643,NORMAL,0.16262930271531212,LONG,0.021258565089013682,-0.1089029783337899,0.014754943088290735,-0.08010761315699012,0.040060502330545034
2024-09-18,6.35,0.4735604745834029,148.62,-0.3693882436515807,49.1,-0.29999999999999716,305250,-0.4086642385452016,1.2668401533985372,20.110463980580683,NORMAL,0.10406687343061295,NEUTRAL,0.022206167605257742,-0.10925482425547924,0.015067341981646505,-0.08021377774416358,0.04020127490908332
2024-09-19,6.39,0.6279455484843102,147.84,-0.526210483594919,49.1,-0.29999999999999716,304925,-0.1065268261512051,1.2575125342419884,19.96239261690538,NORMAL,0.09007358718738902,NEUTRAL,0.02160184342681005,-0.10895541529300885,0.015144500303917154,-0.08018378235637207,0.040132130341581806
2024-09-20,6.39,0.0,148.26,0.28368813351995353,49.1,-0.29999999999999716,303350,-0.5178590340995134,1.2446602939186056,19.758369626791136,NORMAL,0.08207985057605405,NEUTRAL,0.02117473312255526,-0.10839656295562779,0.015595389462828034,-0.08020821410103116,0.04009258451070241
2024-09-23,6.35,-0.6279455484843136,147.22,-0.7039422598013765,49.1,-0.29999999999999716,301700,-0.5454108223291391,1.2564968810820831,19.946269622828943,NORMAL,0.02692329942998374,NEUTRAL,0.02131866619162808,-0.10934354528121511,0.01586768637684003,-0.07991442207173605,0.03997479466609344
2024-09-24,6.54,2.9482352564507175,146.28,-0.6405473349379389,49.1,-0.29999999999999716,301850,0.04970590774198253,1.4069869151400003,22.335224852294278,NORMAL,0.13887310053851482,NEUTRAL,0.02230946531212656,-0.1098213057525054,0.015199565612420411,-0.08033512532304748,0.0402937549044603
2024-09-25,6.54,0.0,147.05,0.525007171882364,49.1,-0.29999999999999716,303350,0.4957049145871641,1.3408118190818827,21.28472776936074,NORMAL,0.08041227907112307,NEUTRAL,0.01983743706186827,-0.10844228989099006,0.016374416907189694,-0.07997545731313241,0.03987409890422189
2024-09-26,6.74,3.01227594551083,146.51,-0.3678979486782494,49.1,-0.29999999999999716,303050,-0.09894459910128413,1.3638615547542237,21.65063097960947,NORMAL,-0.07957979032344577,NEUTRAL,0.021119555076580546,-0.107274384056023,0.017009086835934877,-0.07923423231194193,0.03890794371468309
2024-09-27,6.64,-1.4947961435873252,144.84,-1.146400061578114,49.1,-0.29999999999999716,302525,-0.1733889713177795,1.4284645438530486,22.676171638250914,NORMAL,0.06538532201530738,NEUTRAL,0.022702083579240778,-0.10760204663494854,0.01598369362963621,-0.07975952569477943,0.03932424505667642
2024-09-30,6.56,-1.212136053234485,145.27,0.2964394987351824,49.8,0.6999999999999957,300600,-0.6383441365242104,1.4661933628057229,23.275098071504654,NORMAL,0.15924088974761358,LONG,0.024920962404245614,-0.10942413009115295,0.016212116936762645,-0.07924225425264107,0.038965460655841055
