roll_id,roll_date,from_contract,to_contract,exit_price,entry_price,num_contracts,roll_spread,roll_pnl,fnd_date,days_before_fnd
1,2025-01-28,HGH25,HGJ25,6.8,6.84,4,0.040000000000000036,-4000.0000000000036,2025-01-31,5
2,2025-02-21,HGJ25,HGK25,7.2,7.24,15,0.040000000000000036,-15000.000000000015,2025-02-28,5
3,2025-03-24,HGK25,HGM25,8.11,8.14,3,0.030000000000001137,-2250.0000000000855,2025-03-31,5
4,2025-04-23,HGM25,HGN25,7.6,7.64,1,0.040000000000000036,-1000.0000000000009,2025-04-30,5
5,2025-05-22,HGN25,HGQ25,7.29,7.34,2,0.04999999999999982,-2499.999999999991,2025-05-30,5
6,2025-06-24,HGQ25,HGU25,7.53,7.57,4,0.040000000000000036,-4000.0000000000036,2025-06-30,5
7,2025-07-24,HGU25,HGV25,8.78,8.81,2,0.030000000000001137,-1500.0000000000568,2025-07-31,5
8,2025-08-25,HGV25,HGX25,6.93,6.96,32,0.03000000000000025,-24000.0000000002,2025-08-29,5
9,2025-09-24,HGX25,HGZ25,7.26,7.3,7,0.040000000000000036,-7000.000000000006,2025-09-30,5
