date,position_status,num_contracts,current_price,signal,forecasted_return,atr,stop_loss,carry_spread,carry_multiplier,unrealized_pnl,realized_pnl,roll_pnl,daily_total_pnl,cumulative_pnl,equity
2025-01-02,FLAT,0,6.48,NEUTRAL,-0.01980396792915913,0.10071428571428573,,0.02999999999999936,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
2025-01-03,FLAT,0,6.57,NEUTRAL,-0.046670094017977413,0.09642857142857146,,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
2025-01-06,FLAT,0,6.66,NEUTRAL,0.06674844354970447,0.10571428571428575,,0.03000000000000025,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
2025-01-07,LONG,6,6.72,LONG,0.14136818554305852,0.10857142857142861,6.561428571428571,0.020000000000000462,0.25,0.0,0.0,0.0,0.0,0.0,10000000.0
2025-01-08,FLAT,0,6.86,NEUTRAL,0.0301990921309081,0.11499999999999996,,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,20610.0,10020610.0
2025-01-10,FLAT,0,6.99,NEUTRAL,-0.06130357675591375,0.11999999999999998,,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,20610.0,10020610.0
2025-01-13,FLAT,0,7.03,NEUTRAL,-0.0919575130518293,0.12071428571428568,,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,20610.0,10020610.0
2025-01-14,FLAT,0,7.01,NEUTRAL,0.020741248609085862,0.12214285714285708,,0.020000000000000462,0.0,0.0,0.0,0.0,0.0,20610.0,10020610.0
2025-01-15,LONG,5,7.05,LONG,0.2115191816226012,0.1257142857142857,6.866785714285714,0.020000000000000462,0.25,0.0,0.0,0.0,0.0,20610.0,10020610.0
2025-01-16,LONG,5,7.14,LONG,0.14015004783623874,0.12857142857142856,6.947142857142857,0.020000000000000462,0.25,11249.999999999982,0.0,0.0,0.0,20610.0,10020610.0
2025-01-17,FLAT,0,7.02,NEUTRAL,0.060911893296376966,0.13499999999999998,,0.03000000000000025,0.0,0.0,-4075.0000000000314,0.0,-4075.0000000000314,16535.0,10016535.0
2025-01-21,FLAT,0,6.94,NEUTRAL,0.01688958286785794,0.14285714285714285,,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,16535.0,10016535.0
2025-01-22,LONG,4,6.86,LONG,0.20654128047416193,0.14285714285714285,6.645714285714286,0.02999999999999936,0.25,0.0,0.0,0.0,0.0,16535.0,10016535.0
2025-01-23,FLAT,0,6.9,NEUTRAL,0.04724422025687978,0.14357142857142854,,0.02999999999999936,0.0,0.0,3740.0000000000036,0.0,3740.0000000000036,20275.0,10020275.0
2025-01-24,FLAT,0,6.83,NEUTRAL,0.08411164677387209,0.1471428571428572,,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,20275.0,10020275.0
